Company Name,Website,Location,LinkedIn,Name
OfOne,https://www.of.one,,https://www.linkedin.com/company/of-one/,OfOne
Narrative,https://www.trynarrative.com/,,https://www.linkedin.com/company/trynarrative/,Suchit Dubey
Omnistrate,http://www.omnistrate.com,"Redwood City, CA",https://www.linkedin.com/company/omnistrate/,Sales Development Representative
Tennr,https://www.tennr.com,,https://www.linkedin.com/company/elegantcc/?viewAsMember=true,Trey Holterman
Cakework,https://www.cakework.com,"Seattle, WA",https://www.linkedin.com/company/usecakework,Jessie Young
EdgeBit,https://edgebit.io,,https://www.linkedin.com/company/edgebit/,Rob Szumski
ZeroDev,https://zerodev.app/,New York,https://www.linkedin.com/in/derekchiang93/,Derek Chiang
Mirio,https://www.trymirio.com/,New York,-,David Correa Orozco
Double,https://usedouble.com,"Redwood City, CA",https://www.linkedin.com/company/double-ai,Wesley Yue
Numeral,https://numeralhq.com/,"Los Angeles, CA",https://www.linkedin.com/company/numeralhq,Numeral
Rubber Ducky Labs,https://www.rubberduckylabs.io/,San Francisco,https://www.linkedin.com/company/rubber-ducky-labs,Alexandra Johnson
Nango,https://nango.dev,,https://www.linkedin.com/company/nangohq,Robin Guldener
Parabolic,https://www.growparabolic.com/,San Francisco,https://www.linkedin.com/in/sviragi/,Shub Viragi
CodeComplete,https://codecomplete.ai,,https://www.linkedin.com/company/codecomplete-ai/,CodeComplete
Hammr,https://www.hammr.com,San Francisco,https://www.linkedin.com/company/hammr/,Brek Goin
Fabra,https://www.fabra.io,San Francisco,https://www.linkedin.com/company/fabra,Cole Cable
Trackstar,https://www.trackstarhq.com/,New York,https://www.linkedin.com/company/trackstarhq,Jeremy Schneck
Nebula,https://www.trynebula.com/,San Francisco,https://www.linkedin.com/company/trynebula/,Shanelle Roman
FlexDesk,https://www.flexdesk.com/,New York,https://www.linkedin.com/company/flexdesk-workspace/,Clark Jacobs
Rosettic,https://rosettic.com,,https://www.linkedin.com/company/rosettic/,Rosettic
Pyq AI,https://www.pyqai.com,"Seattle, WA",https://www.linkedin.com/company/pyq-inc/,Aman Raghuvanshi
Backdrop (previously Twig),https://www.joinbackdrop.com,San Francisco,https://www.linkedin.com/company/joinbackdrop/,Akanksha Singh
Viddy,https://www.viddyapp.io/,New York,https://www.linkedin.com/company/viddyapp,Harris Gani
Lume,https://www.lume.ai,New York,https://www.linkedin.com/company/lume-ai/,Robert Ross
Resync,https://resync.ai,New York,https://www.linkedin.com/company/resync-ai,Ethan Bond
Pigeon,https://www.pigeondocuments.com/,,https://www.linkedin.com/company/pigeon-documents,Adam Bulow
Paperplane,https://www.paperplane.ai/,New York,https://www.linkedin.com/company/paperplaneai,Daniel Kwak
Depot,https://depot.dev,"Montpellier, France",https://www.linkedin.com/company/depot-technologies,Kyle Galbraith
Rollstack,https://www.rollstack.io/,New York,https://www.linkedin.com/company/rollstack,Rollstack
Mirrorful,https://www.mirrorful.com/,San Francisco,https://www.linkedin.com/company/mirrorful,Alex Danilowicz
Credal.ai,https://credal.ai,New York,https://www.linkedin.com/company/91502554/,Ravin Thambapillai
Layup,http://www.layupai.com,New York,https://www.linkedin.com/company/layupai/,Ryan Xue
Doctor Droid,https://drdroid.io/,San Francisco,https://www.linkedin.com/company/dr-droid/,Siddarth Jain
Syncly,https://syncly.app/,Boston,https://www.linkedin.com/company/synclyhq/,Joseph Lee
AvenHQ,https://avenhq.com/,, ,Fatma Akcay
Versori,https://www.versori.com/,"Manchester, United Kingdom",https://www.linkedin.com/company/versor,Sean Brown
Trigger.dev,https://trigger.dev,"London, United Kingdom",https://www.linkedin.com/company/triggerdotdev/,Matt Aitken
rift,https://getrift.com,San Francisco,https://www.linkedin.com/company/rifthq/,Fil Twarowski
Traceloop,https://www.traceloop.com,"Tel Aviv-Yafo, Israel",https://www.linkedin.com/company/traceloop/,Nir Gazit
Matano,https://www.matano.dev,"Seattle, WA",https://www.linkedin.com/company/matanolabs/,Samrose Ahmed
Cardinal,http://cardinalapp.io,"Austin, TX",http://linkedin.com/company/cardinalappio,Wiz 👋🏻
Reflex,https://reflex.dev,San Francisco,https://www.linkedin.com/company/reflex-dev,Nikhil Rao
Blyss,https://blyss.dev/,San Francisco,https://www.linkedin.com/company/blyssprivacy/,Samir Menon
Shyp,http://shyp.co.in/,,https://www.linkedin.com/company/shypindia,Shyp
Blocksfabrik,https://www.blocksfabrik.com/,,https://www.linkedin.com/company/blocksfabrik/,Alexandru Antihi
Stack AI,https://stack-ai.com/,San Francisco,https://www.linkedin.com/company/stackai/,Stack AI
Middleware,https://www.middleware.io,,https://www.linkedin.com/company/middleware-labs/,Middleware
Infisical,https://infisical.com,San Francisco,https://www.linkedin.com/company/infisical/,Vlad Matsiiako
Avoca,https://www.avoca.ai/,,https://www.linkedin.com/company/avoca-ai/,Founding Sales and Growth Marketing Lead
Rubbrband,https://rubbrband.com,,https://www.linkedin.com/company/rubbrband/,Jeremy Lee
Sameday,https://www.gosameday.com/,"Lehi, UT",https://www.linkedin.com/company/74740106/admin/,Software Engineer with Conversational AI emphasis
Chima,https://www.withchima.com/,San Francisco,https://www.linkedin.com/company/withchima,AI Application's Engineer
Ivy,https://unify.ai,"London, United Kingdom",https://www.linkedin.com/company/unifyai,ML Engineer intern
OpenSight,https://www.opensight.ai,San Francisco,https://www.linkedin.com/company/opensightai/,Ruoni Wang
Mogara,https://mogara.com,San Francisco,https://www.linkedin.com/company/mogara,Neha Shah
